from,to,status,severity,type,title,source,source_url,updated_at,valid_until,note
Rawalpindi,Islamabad,unknown,low,unknown,Rawalpindi to Islamabad lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Rawalpindi, Islamabad, Faizabad, Islamabad Expressway."
Rawalpindi,Taxila,unknown,low,unknown,Rawalpindi to Taxila lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Rawalpindi, Taxila, Wah, GT Road, M-1 access."
Taxila,Abbottabad,unknown,medium,unknown,Taxila to Abbottabad lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Taxila, Hasan Abdal, Haripur, Havelian, Abbottabad."
Islamabad,Abbottabad,unknown,low,unknown,Islamabad to Abbottabad lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Islamabad, Burhan, Hasan Abdal, Haripur, Havelian, Abbottabad, Hazara Motorway."
Abbottabad,Mansehra,unknown,low,unknown,Abbottabad to Mansehra lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Abbottabad, Qalandarabad, Mansehra."
Mansehra,Balakot,unknown,medium,unknown,Mansehra to Balakot lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Mansehra, Garhi Habibullah, Balakot, Kunhar valley."
Balakot,Kiwai,unknown,medium,unknown,Balakot to Kiwai lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Balakot, Kiwai, Kaghan valley road."
Kiwai,Shogran,unknown,medium,unknown,Kiwai to Shogran lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Kiwai, Shogran, Siri Paye access road."
Kiwai,Kaghan,unknown,medium,unknown,Kiwai to Kaghan lacks a fresh public road bulletin,NHA Travel Advisory / GB Police / Rescue 1122 GB / NATCO / GB Tourism Department / public web search,https://nha.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory menu for N-15 and N-35, GB Police website and official Facebook pointer, Rescue 1122 GB emergency/weather/landslide-alert page, NATCO route context, GB Tourism pages, and public endpoint/small-stop searches on 2026-06-23. No fresh reliable public segment-specific road update was found. Small-stop aliases checked: Kiwai, Paras, Mahandri, Kaghan."
Kaghan,Naran,caution,high,seasonal,Kaghan to Naran needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Kaghan, Naran, Kunhar river section."
Naran,Batakundi,caution,high,seasonal,Naran to Batakundi needs seasonal road confirmation,GB Tourism Department / NHA Travel Advisory / GB Police / Rescue 1122 GB / public web search,https://visitgilgitbaltistan.gov.pk/,2026-06-23,,"Checked NHA Travel Advisory N-15/N-35 pages, GB Tourism destination/news/event pages, GB Police, Rescue 1122 GB, NATCO route context, and endpoint/small-stop searches on 2026-06-23. No fresh official road-condition bulletin or source-backed all-clear was found for this seasonal/high-altitude route; keep caution pending local confirmation. Small-stop aliases checked: Naran, Batakundi, Burawai."
